Model,AUCROC_mean,AUCROC_std,AUCPR_mean,AUCPR_std,Accuracy_mean,Accuracy_std,MCC_mean,MCC_std,F1 Score_mean,F1 Score_std,Precision_mean,Precision_std,Recall_mean,Recall_std,Time Train_mean,Time Train_std,Time Test_mean,Time Test_std
AutoEncoder,83.44916020340881,16.19228540107952,61.612871194177345,28.3524682744166,82.31939349565036,10.913643078952857,0.3937998534378024,0.2556523829000249,0.4544059628504788,0.24911407038583952,0.43635522537208427,0.2654756340535357,0.6430871658925249,0.3327386451827935,1.5623328305523971,1.311556828700342,0.028693361528988492,0.02180262430522217
COPOD,76.21116766559494,19.56441165918731,46.88595583125302,29.055101931026336,79.81654824127719,13.5243427217696,0.2700621292010184,0.273931249962505,0.3321126909998601,0.2524945490821091,0.3859152034027653,0.30640928280808816,0.4491566356469392,0.34585050105064935,0.023106215862517612,0.05071633934269211,0.059345202750347985,0.13041828642027614
DIF,75.54058061431054,18.393039598617644,48.915395931984555,27.596674383885116,79.96518376575239,17.040782647397172,0.16806551363942432,0.25393450782636035,0.1873379497774536,0.23797868677963355,0.35811094913867314,0.38705471610205705,0.21052353415972894,0.3076341714819408,7.087262003472511,5.288163586680679,3.508825920997782,2.5779498196386057
DeepSVDD,75.56720482432446,20.49463972436582,50.30736183050265,31.74606536005637,80.50391136704687,12.121820249329959,0.2915142089764807,0.27660532032263113,0.36526523393013877,0.26153873808026,0.3811644045270298,0.29082400649814005,0.4890308794783891,0.35264139788087717,1.7812830958015475,1.4789831797621582,0.0014405900781804377,0.0015614564198754056
ECOD,74.90206037323522,19.541422087482474,48.39131832184117,28.219700623687206,79.52724298850859,13.507026425613475,0.2709997626195497,0.2628792251420286,0.33784207217807705,0.24096095456647582,0.3834710728785456,0.286910796728466,0.45769704352220486,0.3419670635865622,0.028589284367498274,0.06421993549950349,0.06750002831614485,0.1511795587825043
IForest,79.55311060032071,18.211043949877762,51.62685737313643,30.213353583956515,81.07262195108785,11.588866103903037,0.31579777470981474,0.2723211366538566,0.3884986142554052,0.2630554159509096,0.40065769103959925,0.28639759558426836,0.5181583222978141,0.344483073795483,0.06589153474648089,0.02081833940805397,0.007285296654386094,0.004597022278540337
KNN,84.00973744354106,16.830960705548165,64.43024915214822,29.701657036451113,83.2077969120757,11.18572590910282,0.3964107302566932,0.2745651504868394,0.45168311468041306,0.2663414234263624,0.44261453091924874,0.2825670736584254,0.6254287753942046,0.3491520321651167,0.0525508205611984,0.11957828448384528,0.030948734902716254,0.06614340228679622
LUNAR,85.91120106283067,16.21478680037727,67.17539112162402,29.784758232023776,81.84865793600659,15.09339811328494,0.4251291336561704,0.3014693787384714,0.47647695759191816,0.29268192183508085,0.48001057305001377,0.3170918936015372,0.6559214592571568,0.3458249887039303,7.709265539493966,5.697833454084381,0.057039625086682866,0.07849855151572238
NeuTraLAD,78.48287710741992,16.97787130494809,53.074398924398416,29.948066638189985,80.62602970568985,16.50182567785766,0.24520314977799337,0.25640919847152766,0.2617728214604523,0.23001510166762246,0.5008884435855376,0.35767507533920834,0.2650254617067694,0.2889523882548401,312.8900441240757,3932.5630507546944,0.019530491118735407,0.030992727368630336
OCSVM,68.42215422591791,19.143473006120747,38.10426144592079,26.623883554880926,60.18395277593162,30.99011749222945,0.20660636309339125,0.23884296233055688,0.3467642878632259,0.23206305514516118,0.3253134121299115,0.2595336520697573,0.676072431732132,0.3465157982133033,1.4851468854716845,2.806174711893061,0.5138056086642402,0.842072300620504
PCA,76.63190591735052,21.256536520819996,53.15075061571675,31.133736856990634,81.03232025814542,11.928316160374909,0.30757728226768816,0.2817855751994881,0.3735016654826056,0.27070767488165043,0.3770124002689618,0.2954811572932687,0.5337236383166262,0.3584274901659443,0.19545082375407216,1.0609912950299063,0.04541289682189619,0.2606217174526838
SFF_OD,86.29921021060191,15.042390318463847,60.41262317750146,28.641569616829447,86.24645160141847,14.758957981023313,0.43310331433603233,0.34407644874395354,0.4498501594203422,0.3453257336921947,0.6038622589734137,0.3646848297115977,0.44844429622503884,0.3748360206120478,0.1630210866319372,0.4082009934986772,0.03763876570031993,0.046997674893959264
XGBClassifier,50.0,0.0,19.37753884671968,17.924383360010786,80.70491876539401,17.930653583397838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03303248121383338,0.03735972176630081,0.0020118033632318512,0.000798911587787011
